Age,Gender,Education Level,Job Title,Years of Experience,Salary (USD),Race
32.0,Male,Bachelors,Software/Developer,5.0,90000.0,White
28.0,Female,Masters,Data Analyst/Scientist,3.0,65000.0,Hispanic
45.0,Male,PhD,Manager/Director/VP,15.0,150000.0,White
36.0,Female,Bachelors,Sales,7.0,60000.0,Hispanic
52.0,Male,Masters,Manager/Director/VP,20.0,200000.0,Asian
29.0,Male,Bachelors,Data Analyst/Scientist,2.0,55000.0,Hispanic
42.0,Female,Masters,Manager/Director/VP,12.0,120000.0,Asian
31.0,Male,Bachelors,Manager/Director/VP,4.0,80000.0,Korean
26.0,Female,Bachelors,Marketing/Social Media,1.0,45000.0,Chinese
38.0,Male,PhD,Data Analyst/Scientist,10.0,110000.0,Australian
29.0,Male,Masters,Software/Developer,3.0,75000.0,Welsh
48.0,Female,Bachelors,Manager/Director/VP,18.0,140000.0,Asian
35.0,Male,Bachelors,Data Analyst/Scientist,6.0,65000.0,Korean
40.0,Female,Masters,Manager/Director/VP,14.0,130000.0,African American
27.0,Male,Bachelors,Customer Service/Receptionist,2.0,40000.0,Asian
44.0,Male,Bachelors,Manager/Director/VP,16.0,125000.0,Chinese
33.0,Female,Masters,Manager/Director/VP,7.0,90000.0,Asian
39.0,Male,PhD,Other,12.0,115000.0,Mixed
25.0,Female,Bachelors,Data Analyst/Scientist,0.0,35000.0,Asian
51.0,Male,Bachelors,Manager/Director/VP,22.0,180000.0,Asian
34.0,Female,Masters,Data Analyst/Scientist,5.0,80000.0,Korean
47.0,Male,Masters,Manager/Director/VP,19.0,190000.0,White
30.0,Male,Bachelors,IT/Technical Support,2.0,50000.0,Asian
36.0,Female,Bachelors,IT/Technical Support,9.0,60000.0,White
41.0,Male,Masters,Manager/Director/VP,13.0,140000.0,African American
28.0,Female,Bachelors,Marketing/Social Media,3.0,45000.0,White
37.0,Female,Masters,Software/Developer,11.0,110000.0,Asian
24.0,Male,Bachelors,Software/Developer,1.0,40000.0,Asian
43.0,Female,PhD,Other,15.0,140000.0,Black
33.0,Male,Masters,Product/Designer,6.0,90000.0,Korean
50.0,Male,Bachelors,Other,25.0,250000.0,Asian
31.0,Female,Bachelors,Financial/Accountant,4.0,55000.0,White
29.0,Male,Masters,Data Analyst/Scientist,3.0,75000.0,Hispanic
39.0,Female,Bachelors,Marketing/Social Media,10.0,65000.0,White
46.0,Male,PhD,Manager/Director/VP,20.0,170000.0,Hispanic
27.0,Male,Bachelors,IT/Technical Support,2.0,45000.0,Asian
35.0,Female,Bachelors,HR/Human Resources,7.0,60000.0,White
42.0,Male,Masters,Other,14.0,115000.0,White
26.0,Female,Bachelors,Other,1.0,40000.0,Asian
49.0,Male,Bachelors,Sales,21.0,160000.0,White
34.0,Female,Masters,Product/Designer,5.0,80000.0,Asian
48.0,Male,Masters,Manager/Director/VP,18.0,190000.0,Black
30.0,Male,Bachelors,Other,3.0,60000.0,Korean
36.0,Female,Bachelors,Other,8.0,45000.0,Asian
41.0,Male,Masters,Other,13.0,130000.0,Asian
28.0,Female,Bachelors,IT/Technical Support,2.0,40000.0,White
32.0,Male,Bachelors,Manager/Director/VP,5.0,75000.0,Asian
45.0,Female,Masters,Manager/Director/VP,16.0,180000.0,Welsh
38.0,Male,PhD,Data Analyst/Scientist,11.0,120000.0,Asian
25.0,Male,Bachelors,Data Analyst/Scientist,0.0,35000.0,Asian
51.0,Female,Bachelors,Manager/Director/VP,22.0,130000.0,Korean
33.0,Male,Masters,Data Analyst/Scientist,7.0,85000.0,Australian
40.0,Female,Bachelors,Other,12.0,60000.0,White
47.0,Male,Masters,Manager/Director/VP,19.0,200000.0,Asian
29.0,Female,Bachelors,Product/Designer,3.0,50000.0,Black
36.0,Male,Bachelors,Manager/Director/VP,9.0,95000.0,Korean
27.0,Female,Masters,Other,2.0,65000.0,White
43.0,Male,PhD,Other,17.0,140000.0,Hispanic
30.0,Female,Bachelors,Manager/Director/VP,4.0,55000.0,White
35.0,Male,Masters,Manager/Director/VP,7.0,105000.0,Asian
51.0,Female,Masters,Manager/Director/VP,23.0,170000.0,African American
29.0,Male,Bachelors,Data Analyst/Scientist,3.0,50000.0,Chinese
40.0,Female,Bachelors,Manager/Director/VP,12.0,80000.0,Korean
47.0,Male,PhD,Data Analyst/Scientist,21.0,180000.0,White
26.0,Male,Bachelors,Financial/Accountant,1.0,35000.0,Australian
38.0,Female,Masters,Manager/Director/VP,10.0,90000.0,Korean
46.0,Male,Bachelors,Manager/Director/VP,19.0,120000.0,Australian
31.0,Female,Bachelors,Sales,5.0,45000.0,Asian
34.0,Male,Masters,Manager/Director/VP,8.0,90000.0,Asian
49.0,Female,Masters,Data Analyst/Scientist,18.0,150000.0,White
33.0,Male,Bachelors,Software/Developer,6.0,65000.0,Hispanic
39.0,Female,Bachelors,IT/Technical Support,11.0,70000.0,Asian
45.0,Male,PhD,Manager/Director/VP,16.0,190000.0,Mixed
28.0,Male,Bachelors,IT/Technical Support,2.0,40000.0,Korean
42.0,Female,Masters,Manager/Director/VP,14.0,120000.0,Black
37.0,Male,Bachelors,Manager/Director/VP,10.0,95000.0,Asian
50.0,Female,Bachelors,Manager/Director/VP,22.0,160000.0,White
32.0,Male,Masters,Software/Developer,6.0,100000.0,African American
48.0,Female,Masters,Manager/Director/VP,20.0,180000.0,Black
30.0,Female,Bachelors,Manager/Director/VP,3.0,55000.0,White
36.0,Male,Bachelors,IT/Technical Support,8.0,70000.0,Asian
41.0,Female,Masters,Data Analyst/Scientist,13.0,80000.0,White
25.0,Male,Bachelors,Sales,0.0,30000.0,Asian
52.0,Male,PhD,Other,24.0,250000.0,Black
29.0,Female,Bachelors,Product/Designer,2.0,40000.0,Asian
34.0,Female,Masters,Financial/Accountant,10.0,95000.0,White
27.0,Male,Bachelors,Manager/Director/VP,2.0,45000.0,White
40.0,Female,Bachelors,HR/Human Resources,15.0,80000.0,Hispanic
46.0,Male,Masters,Manager/Director/VP,21.0,135000.0,Asian
31.0,Female,Bachelors,Marketing/Social Media,6.0,55000.0,Asian
36.0,Male,PhD,Data Analyst/Scientist,11.0,120000.0,Mixed
29.0,Female,Bachelors,Sales,3.0,40000.0,White
43.0,Male,Bachelors,Manager/Director/VP,18.0,105000.0,Welsh
52.0,Female,Masters,Manager/Director/VP,25.0,170000.0,Chinese
33.0,Male,Bachelors,Data Analyst/Scientist,7.0,75000.0,Australian
39.0,Female,Bachelors,Other,12.0,65000.0,African American
47.0,Male,PhD,Data Analyst/Scientist,22.0,160000.0,Asian
26.0,Male,Bachelors,Software/Developer,1.0,35000.0,White
38.0,Female,Masters,Manager/Director/VP,10.0,90000.0,Asian
45.0,Male,Bachelors,Data Analyst/Scientist,20.0,110000.0,Chinese
31.0,Female,Bachelors,Other,5.0,45000.0,Asian
35.0,Male,Masters,Manager/Director/VP,8.0,95000.0,White
49.0,Female,Masters,Manager/Director/VP,19.0,150000.0,White
33.0,Male,Bachelors,Software/Developer,5.0,50000.0,Asian
39.0,Female,Masters,Other,13.0,80000.0,Welsh
44.0,Male,PhD,Data Analyst/Scientist,16.0,220000.0,African American
30.0,Female,Bachelors,IT/Technical Support,3.0,50000.0,White
36.0,Male,Bachelors,IT/Technical Support,7.0,60000.0,Asian
41.0,Female,Masters,Data Analyst/Scientist,14.0,100000.0,White
28.0,Male,Bachelors,Manager/Director/VP,2.0,40000.0,Hispanic
42.0,Female,Masters,Product/Designer,15.0,110000.0,Asian
37.0,Male,Bachelors,Software/Developer,9.0,95000.0,White
50.0,Female,Bachelors,Data Analyst/Scientist,22.0,130000.0,Welsh
32.0,Male,Masters,Data Analyst/Scientist,6.0,90000.0,Asian
23.0,Female,Bachelors,Data Analyst/Scientist,0.5,35000.0,White
31.0,Male,Masters,Data Analyst/Scientist,6.0,95000.0,Asian
40.0,Female,Bachelors,Manager/Director/VP,15.0,65000.0,White
48.0,Male,PhD,Other,20.0,170000.0,Hispanic
29.0,Female,Bachelors,HR/Human Resources,3.0,45000.0,Australian
35.0,Male,Masters,Manager/Director/VP,10.0,120000.0,White
42.0,Female,Bachelors,Manager/Director/VP,17.0,100000.0,Korean
53.0,Male,Masters,Manager/Director/VP,25.0,180000.0,Mixed
33.0,Female,Bachelors,Data Analyst/Scientist,5.0,50000.0,Australian
38.0,Male,Bachelors,Manager/Director/VP,11.0,80000.0,White
44.0,Female,PhD,Data Analyst/Scientist,16.0,140000.0,Mixed
26.0,Male,Bachelors,Financial/Accountant,2.0,40000.0,White
37.0,Female,Masters,HR/Human Resources,9.0,95000.0,African American
45.0,Male,Bachelors,Manager/Director/VP,18.0,110000.0,White
32.0,Female,Bachelors,Marketing/Social Media,4.0,50000.0,White
34.0,Male,Masters,Software/Developer,8.0,105000.0,White
50.0,Female,Masters,Manager/Director/VP,21.0,160000.0,White
29.0,Male,Bachelors,Product/Designer,3.0,45000.0,White
40.0,Female,Masters,Other,12.0,100000.0,Black
47.0,Male,PhD,Data Analyst/Scientist,22.0,160000.0,Hispanic
27.0,Male,Bachelors,Sales,1.0,35000.0,Mixed
39.0,Female,Bachelors,Other,10.0,55000.0,Black
46.0,Male,Masters,Manager/Director/VP,19.0,140000.0,Black
30.0,Female,Bachelors,Manager/Director/VP,4.0,50000.0,White
36.0,Male,Bachelors,Data Analyst/Scientist,7.0,60000.0,Asian
43.0,Female,Masters,Manager/Director/VP,14.0,120000.0,White
28.0,Male,Bachelors,Data Analyst/Scientist,2.0,40000.0,White
41.0,Female,Masters,Manager/Director/VP,13.0,110000.0,Australian
33.0,Male,Bachelors,Software/Developer,5.0,50000.0,Hispanic
47.0,Male,Bachelors,Manager/Director/VP,20.0,135000.0,White
25.0,Female,Masters,Marketing/Social Media,1.5,40000.0,Asian
34.0,Male,Bachelors,Data Analyst/Scientist,8.0,90000.0,Asian
42.0,Female,PhD,Data Analyst/Scientist,16.0,150000.0,Chinese
31.0,Male,Bachelors,Manager/Director/VP,4.0,60000.0,Welsh
38.0,Female,Bachelors,Financial/Accountant,10.0,80000.0,African American
45.0,Male,Masters,Manager/Director/VP,19.0,175000.0,Black
29.0,Female,Bachelors,IT/Technical Support,3.0,45000.0,Australian
36.0,Male,Masters,Manager/Director/VP,11.0,120000.0,Black
43.0,Female,PhD,Product/Designer,18.0,140000.0,Asian
26.0,Male,Bachelors,IT/Technical Support,2.0,35000.0,Asian
37.0,Female,Masters,Data Analyst/Scientist,9.0,95000.0,White
44.0,Male,Bachelors,IT/Technical Support,14.0,110000.0,African American
32.0,Female,Bachelors,Data Analyst/Scientist,5.0,50000.0,Asian
33.0,Male,Masters,Manager/Director/VP,7.0,115000.0,Korean
51.0,Female,PhD,Manager/Director/VP,23.0,185000.0,Chinese
28.0,Male,Bachelors,Software/Developer,2.0,40000.0,White
39.0,Female,Bachelors,Sales,12.0,90000.0,Asian
48.0,Male,Masters,Manager/Director/VP,21.0,175000.0,Asian
30.0,Female,Bachelors,IT/Technical Support,3.0,45000.0,Mixed
35.0,Male,Bachelors,Marketing/Social Media,7.0,80000.0,White
41.0,Female,Masters,Manager/Director/VP,13.0,120000.0,Korean
27.0,Male,Bachelors,Other,1.5,35000.0,White
40.0,Female,Bachelors,Manager/Director/VP,14.0,110000.0,Australian
46.0,Male,PhD,Other,18.0,150000.0,Black
31.0,Female,Bachelors,HR/Human Resources,4.0,50000.0,Korean
34.0,Male,Masters,Software/Developer,9.0,105000.0,Korean
50.0,Female,Masters,Manager/Director/VP,20.0,180000.0,Australian
29.0,Male,Bachelors,Marketing/Social Media,2.0,40000.0,Asian
43.0,Male,Bachelors,Manager/Director/VP,16.0,140000.0,White
26.0,Female,Masters,Data Analyst/Scientist,1.5,45000.0,Asian
35.0,Male,Bachelors,Data Analyst/Scientist,7.0,85000.0,White
42.0,Female,PhD,Manager/Director/VP,18.0,140000.0,Asian
31.0,Male,Bachelors,Financial/Accountant,4.0,50000.0,Welsh
38.0,Female,Bachelors,HR/Human Resources,10.0,80000.0,Asian
46.0,Male,Masters,Manager/Director/VP,20.0,170000.0,Asian
29.0,Female,Bachelors,Sales,2.0,40000.0,Welsh
37.0,Male,Masters,Data Analyst/Scientist,9.0,105000.0,Chinese
44.0,Female,PhD,Product/Designer,15.0,145000.0,Hispanic
27.0,Male,Bachelors,Manager/Director/VP,2.0,40000.0,Hispanic
36.0,Female,Bachelors,Marketing/Social Media,8.0,85000.0,African American
43.0,Male,Bachelors,Manager/Director/VP,14.0,130000.0,Chinese
33.0,Female,Masters,Data Analyst/Scientist,6.0,95000.0,White
34.0,Male,Bachelors,Data Analyst/Scientist,9.0,100000.0,Mixed
50.0,Female,PhD,Manager/Director/VP,22.0,180000.0,Korean
28.0,Male,Bachelors,Data Analyst/Scientist,1.5,35000.0,Welsh
39.0,Female,Bachelors,Other,12.0,95000.0,African American
47.0,Male,Masters,Manager/Director/VP,19.0,170000.0,Asian
30.0,Female,Bachelors,Manager/Director/VP,3.0,45000.0,Australian
34.0,Male,Bachelors,Manager/Director/VP,7.0,95000.0,Chinese
40.0,Female,Masters,HR/Human Resources,13.0,120000.0,Welsh
28.0,Male,Bachelors,Data Analyst/Scientist,2.0,40000.0,African American
41.0,Female,Bachelors,Marketing/Social Media,11.0,90000.0,Asian
45.0,Male,PhD,Data Analyst/Scientist,17.0,155000.0,Asian
32.0,Female,Bachelors,Manager/Director/VP,5.0,55000.0,Asian
35.0,Male,Masters,Software/Developer,9.0,110000.0,Asian
49.0,Female,Masters,Manager/Director/VP,21.0,180000.0,Mixed
30.0,Male,Bachelors,Other,3.0,45000.0,White
44.0,Male,Bachelors,Manager/Director/VP,16.0,130000.0,Asian
27.0,Female,Masters,Product/Designer,1.5,45000.0,Hispanic
36.0,Male,Bachelors,Financial/Accountant,7.0,90000.0,White
41.0,Female,PhD,Manager/Director/VP,17.0,160000.0,Mixed
31.0,Male,Bachelors,HR/Human Resources,4.0,50000.0,Chinese
39.0,Female,Bachelors,Manager/Director/VP,10.0,120000.0,Asian
47.0,Male,Masters,Manager/Director/VP,20.0,170000.0,Australian
30.0,Female,Bachelors,Marketing/Social Media,2.0,40000.0,Korean
38.0,Male,Masters,IT/Technical Support,9.0,110000.0,White
45.0,Female,PhD,Product/Designer,15.0,150000.0,Chinese
28.0,Male,Bachelors,Other,2.0,40000.0,Asian
35.0,Female,Bachelors,Data Analyst/Scientist,8.0,85000.0,White
44.0,Male,Bachelors,Software/Developer,14.0,130000.0,Chinese
34.0,Female,Masters,Financial/Accountant,6.0,100000.0,Welsh
35.0,Male,Bachelors,Other,9.0,95000.0,White
50.0,Female,PhD,Manager/Director/VP,22.0,180000.0,Australian
29.0,Male,Bachelors,Data Analyst/Scientist,1.5,35000.0,Asian
40.0,Female,Bachelors,Sales,12.0,100000.0,Chinese
48.0,Male,Masters,Manager/Director/VP,19.0,170000.0,Hispanic
31.0,Female,Bachelors,Marketing/Social Media,3.0,45000.0,Welsh
33.0,Male,Bachelors,Manager/Director/VP,7.0,100000.0,Hispanic
42.0,Female,Masters,Manager/Director/VP,13.0,140000.0,White
28.0,Male,Bachelors,Data Analyst/Scientist,2.0,40000.0,Australian
40.0,Female,Bachelors,Manager/Director/VP,11.0,105000.0,White
46.0,Male,PhD,Data Analyst/Scientist,18.0,160000.0,White
33.0,Female,Bachelors,Manager/Director/VP,5.0,70000.0,Asian
37.0,Male,Masters,Software/Developer,9.0,120000.0,Australian
51.0,Female,Masters,Manager/Director/VP,21.0,190000.0,Hispanic
30.0,Male,Bachelors,Marketing/Social Media,3.0,45000.0,Black
43.0,Male,Bachelors,Manager/Director/VP,15.0,120000.0,Asian
27.0,Female,Masters,Data Analyst/Scientist,1.5,50000.0,White
35.0,Male,Bachelors,Data Analyst/Scientist,8.0,85000.0,White
42.0,Female,PhD,Manager/Director/VP,13.0,140000.0,White
32.0,Male,Bachelors,Sales,3.0,45000.0,White
37.0,Female,Bachelors,Data Analyst/Scientist,9.0,100000.0,Welsh
45.0,Male,Masters,Software/Developer,16.0,140000.0,Asian
33.0,Female,Bachelors,Data Analyst/Scientist,5.0,70000.0,Asian
39.0,Male,Bachelors,Marketing/Social Media,10.0,120000.0,Black
44.0,Female,PhD,Manager/Director/VP,18.0,160000.0,White
29.0,Male,Bachelors,Data Analyst/Scientist,1.5,40000.0,Australian
38.0,Female,Bachelors,Manager/Director/VP,10.0,120000.0,Korean
46.0,Male,PhD,Data Analyst/Scientist,19.0,150000.0,Asian
34.0,Female,Bachelors,Data Analyst/Scientist,6.0,70000.0,Asian
36.0,Male,Bachelors,Manager/Director/VP,8.0,95000.0,White
49.0,Female,Masters,Manager/Director/VP,21.0,180000.0,White
31.0,Male,Bachelors,Data Analyst/Scientist,3.0,50000.0,Black
41.0,Female,Bachelors,Other,11.0,95000.0,African American
47.0,Male,Masters,Manager/Director/VP,20.0,170000.0,White
30.0,Female,Bachelors,Marketing/Social Media,2.0,40000.0,White
38.0,Male,Masters,IT/Technical Support,9.0,110000.0,Australian
45.0,Female,PhD,Product/Designer,15.0,150000.0,Korean
28.0,Male,Bachelors,Other,2.0,40000.0,Asian
35.0,Female,Bachelors,Data Analyst/Scientist,8.0,85000.0,White
44.0,Male,Bachelors,Software/Developer,14.0,130000.0,Australian
34.0,Female,Masters,Financial/Accountant,6.0,100000.0,Australian
35.0,Male,Bachelors,Other,9.0,95000.0,Asian
50.0,Female,PhD,Manager/Director/VP,22.0,180000.0,White
29.0,Male,Bachelors,Data Analyst/Scientist,1.5,350.0,Hispanic
37.0,Female,Bachelors,Manager/Director/VP,10.0,120000.0,African American
